"","Sales","New Lines","Port Lines","Upgrade Lines","Lines Activated","Shipped Lines","Pending Lines","Lines Cancelled","New Lines %","Port Lines %","Activated Lines %","Cancelled Lines %"
"SCI Retail","371","34","221","116","317","0","0","19","13.3%","86.7%","94.3%","5.7%"
"Strive 365, Inc.","371","34","221","116","317","0","0","19","13.3%","86.7%","94.3%","5.7%"
"Total","371","34","221","116","317","0","0","19","13.3%","86.7%","94.3%","5.7%"
"Aranas","371","34","221","116","317","0","0","19","13.3%","86.7%","94.3%","5.7%"
"Total","371","34","221","116","317","0","0","19","13.3%","86.7%","94.3%","5.7%"
"Bri Chavez","371","34","221","116","317","0","0","19","13.3%","86.7%","94.3%","5.7%"
"Total","371","34","221","116","317","0","0","19","13.3%","86.7%","94.3%","5.7%"
"10/20/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"10/17/2023","5","0","5","0","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"10/16/2023","8","0","4","4","8","0","0","0","0.0%","100.0%","100.0%","0.0%"
"10/15/2023","3","0","0","3","3","0","0","0","0.0%","0.0%","100.0%","0.0%"
"10/12/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"10/09/2023","2","0","2","0","0","0","0","0","0.0%","100.0%","0.0%","0.0%"
"10/08/2023","2","0","2","0","2","0","0","0","0.0%","100.0%","100.0%","0.0%"
"10/05/2023","4","0","4","0","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"10/01/2023","2","0","2","0","2","0","0","0","0.0%","100.0%","100.0%","0.0%"
"09/22/2023","10","1","7","2","4","0","0","0","12.5%","87.5%","100.0%","0.0%"
"09/21/2023","2","0","2","0","2","0","0","0","0.0%","100.0%","100.0%","0.0%"
"09/20/2023","6","0","5","1","5","0","0","0","0.0%","100.0%","100.0%","0.0%"
"09/19/2023","3","0","2","1","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"09/18/2023","3","0","1","2","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"09/15/2023","6","0","5","1","6","0","0","0","0.0%","100.0%","100.0%","0.0%"
"09/14/2023","4","1","3","0","4","0","0","0","25.0%","75.0%","100.0%","0.0%"
"09/12/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"09/10/2023","4","0","4","0","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"09/09/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"08/31/2023","8","0","0","8","8","0","0","0","0.0%","0.0%","100.0%","0.0%"
"08/30/2023","5","2","0","3","5","0","0","0","100.0%","0.0%","100.0%","0.0%"
"08/29/2023","7","2","4","1","7","0","0","0","33.3%","66.7%","100.0%","0.0%"
"08/28/2023","5","0","1","4","5","0","0","0","0.0%","100.0%","100.0%","0.0%"
"08/26/2023","5","1","3","1","5","0","0","0","25.0%","75.0%","100.0%","0.0%"
"08/25/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"08/24/2023","5","0","5","0","0","0","0","5","0.0%","100.0%","0.0%","100.0%"
"08/23/2023","2","1","0","1","2","0","0","0","100.0%","0.0%","100.0%","0.0%"
"08/22/2023","3","0","2","1","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"08/18/2023","2","1","0","1","2","0","0","0","100.0%","0.0%","100.0%","0.0%"
"08/17/2023","2","0","2","0","2","0","0","0","0.0%","100.0%","100.0%","0.0%"
"08/16/2023","2","0","0","2","2","0","0","0","0.0%","0.0%","100.0%","0.0%"
"08/12/2023","3","0","2","1","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"08/09/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"08/08/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"08/07/2023","9","1","7","1","9","0","0","0","12.5%","87.5%","100.0%","0.0%"
"08/06/2023","4","0","1","3","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"08/05/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"07/29/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"07/28/2023","4","2","0","2","4","0","0","0","100.0%","0.0%","100.0%","0.0%"
"07/25/2023","3","0","2","1","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"07/24/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"07/23/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"07/22/2023","1","0","1","0","0","0","0","0","0.0%","100.0%","0.0%","0.0%"
"07/21/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"07/17/2023","4","1","3","0","2","0","0","0","25.0%","75.0%","100.0%","0.0%"
"07/14/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"07/12/2023","4","0","4","0","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"07/08/2023","8","1","3","4","8","0","0","0","25.0%","75.0%","100.0%","0.0%"
"07/03/2023","5","1","2","2","5","0","0","0","33.3%","66.7%","100.0%","0.0%"
"06/30/2023","3","0","3","0","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/29/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"06/28/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"06/27/2023","1","1","0","0","1","0","0","0","100.0%","0.0%","100.0%","0.0%"
"06/26/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/25/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"06/24/2023","14","3","9","2","13","0","0","0","25.0%","75.0%","100.0%","0.0%"
"06/23/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/22/2023","4","0","4","0","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/21/2023","7","2","5","0","0","0","0","5","28.6%","71.4%","0.0%","100.0%"
"06/19/2023","2","0","1","1","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/17/2023","3","0","1","2","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/16/2023","5","0","5","0","0","0","0","0","0.0%","100.0%","0.0%","0.0%"
"06/15/2023","2","0","1","1","2","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/10/2023","2","0","2","0","2","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/09/2023","7","0","5","2","7","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/07/2023","4","0","4","0","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/06/2023","3","0","3","0","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"06/03/2023","6","1","3","2","6","0","0","0","25.0%","75.0%","100.0%","0.0%"
"06/01/2023","1","1","0","0","1","0","0","0","100.0%","0.0%","100.0%","0.0%"
"05/31/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"05/28/2023","9","0","2","7","9","0","0","0","0.0%","100.0%","100.0%","0.0%"
"05/27/2023","6","1","0","5","6","0","0","0","100.0%","0.0%","100.0%","0.0%"
"05/24/2023","3","1","2","0","3","0","0","0","33.3%","66.7%","100.0%","0.0%"
"05/22/2023","1","1","0","0","1","0","0","0","100.0%","0.0%","100.0%","0.0%"
"05/21/2023","6","0","0","6","6","0","0","0","0.0%","0.0%","100.0%","0.0%"
"05/20/2023","5","0","4","1","5","0","0","0","0.0%","100.0%","100.0%","0.0%"
"05/13/2023","1","0","0","1","0","0","0","0","0.0%","0.0%","0.0%","0.0%"
"05/09/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"05/07/2023","8","1","4","3","6","0","0","0","20.0%","80.0%","100.0%","0.0%"
"05/06/2023","7","0","6","1","1","0","0","6","0.0%","100.0%","14.3%","85.7%"
"05/01/2023","4","0","2","2","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"04/30/2023","4","0","4","0","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"04/29/2023","5","0","5","0","5","0","0","0","0.0%","100.0%","100.0%","0.0%"
"04/28/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"04/25/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"04/23/2023","5","1","1","3","5","0","0","0","50.0%","50.0%","100.0%","0.0%"
"04/21/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"04/18/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"04/14/2023","3","0","3","0","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"04/13/2023","3","0","3","0","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"04/11/2023","7","0","7","0","7","0","0","0","0.0%","100.0%","100.0%","0.0%"
"04/10/2023","2","0","0","2","2","0","0","0","0.0%","0.0%","100.0%","0.0%"
"04/05/2023","3","0","3","0","0","0","0","2","0.0%","100.0%","0.0%","100.0%"
"03/29/2023","7","1","6","0","7","0","0","0","14.3%","85.7%","100.0%","0.0%"
"03/28/2023","1","0","1","0","1","0","0","0","0.0%","100.0%","100.0%","0.0%"
"03/21/2023","4","0","0","4","4","0","0","0","0.0%","0.0%","100.0%","0.0%"
"03/18/2023","13","4","6","3","6","0","0","0","40.0%","60.0%","100.0%","0.0%"
"03/16/2023","5","0","4","1","4","0","0","0","0.0%","100.0%","100.0%","0.0%"
"03/15/2023","6","0","6","0","6","0","0","0","0.0%","100.0%","100.0%","0.0%"
"03/14/2023","2","0","2","0","2","0","0","0","0.0%","100.0%","100.0%","0.0%"
"03/13/2023","1","0","1","0","0","0","0","1","0.0%","100.0%","0.0%","100.0%"
"03/12/2023","1","0","0","1","1","0","0","0","0.0%","0.0%","100.0%","0.0%"
"03/08/2023","2","0","1","1","2","0","0","0","0.0%","100.0%","100.0%","0.0%"
"03/05/2023","1","1","0","0","1","0","0","0","100.0%","0.0%","100.0%","0.0%"
"03/04/2023","3","0","3","0","3","0","0","0","0.0%","100.0%","100.0%","0.0%"
"Total","371","34","221","116","317","0","0","19","13.3%","86.7%","94.3%","5.7%"
